the_geom,cartodb_id,iso_langua,north,south,east,west
,1,xtw,5.268116,-33.750515,-29.295843,-73.993783
,2,xtv,-9.219502,-54.779045,159.105026,112.919742
,3,xtu,18.117092,18.049612,-96.684966,-96.777726
,4,xtt,17.001151,16.919949,-97.404198,-97.503134
,5,xts,17.064281,16.976674,-97.273995,-97.333299
,6,xtp,17.011151,16.977692,-97.174046,-97.23718
,7,xty,16.853407,16.758355,-98.557286,-98.701278
,8,xte,-3.899029,-4.810372,140.864162,140.021579
,9,xtd,17.402751,17.261497,-97.31295,-97.45935
,10,xtc,11.21399,10.74662,29.80576,29.33533
,11,xtb,18.273103,18.087559,-97.655294,-97.919366
,12,xta,17.505919,17.258084,-98.301918,-98.491838
,13,xtn,17.590372,17.372681,-97.725502,-97.944302
,14,xtm,17.396106,17.143223,-97.47379,-97.608879
,15,xtl,17.260571,17.045743,-97.40611,-97.509456
,16,xtj,17.232671,17.083533,-97.343622,-97.43615
,17,xti,17.282555,17.152909,-97.55355,-97.627302
,18,xth,-9.219502,-54.779045,159.105026,112.919742
,19,wji,11.268019,11.061492,9.69813,9.440363
,20,wja,10.12415,9.75824,11.86018,11.57593
,21,txo,26.856862,26.798496,89.345822,89.286855
,22,txn,-6.159949,-6.774782,134.288736,134.051041
,23,txm,0.672729,0.39571,121.276958,120.502864
,24,txj,13.8885,4.270627,14.678242,2.65011
,25,txi,-11.171559,-11.529214,-53.293459,-53.697606
,26,txe,1.374653,0.739659,121.098429,120.234473
,27,txa,6.711753,5.87748,117.942684,116.915145
,28,txy,-22.90193,-25.199747,47.400664,43.939539
,29,txx,5.618157,5.402361,115.621235,115.411093
,30,txu,-3.643549,-10.128414,-51.05292,-52.928037
,31,txt,-5.312047,-5.87687,139.669037,139.267034
,32,txs,1.624327,1.366123,125.247701,124.859298
,33,txq,-10.800855,-11.009678,123.040135,122.840988
,34,dne,-9.872791,-10.949808,36.666665,35.354399
,35,dnd,-3.282797,-3.315868,141.232586,141.190418
,36,dng,81.859131,35.127668,191.00492,19.639328
,37,bnq,1.599527,1.426058,124.892437,124.802015
,38,dna,-3.891004,-4.011399,139.049814,138.750858
,39,dno,2.596207,2.14415,30.990562,30.45145
,40,dnn,11.443974,10.78623,-4.813338,-5.134918
,41,dni,-4.103826,-4.376001,139.252763,138.732011
,42,dnk,-10.729995,-10.857847,123.053408,122.839887
,43,dnj,8.048472,6.23666,-7.370045,-8.948366
,44,dnu,20.717389,20.620066,96.79698,96.670359
,45,dnt,-3.966906,-4.212992,139.137771,138.752063
,46,dnw,-3.239604,-4.178344,138.82049,137.613304
,47,dnv,21.734541,20.726618,96.794942,96.206869
,48,dnr,-5.501127,-5.576548,145.519108,145.394334
,49,dny,-6.505962,-7.030525,-67.08949,-68.972937
,50,jmx,17.437066,17.106502,-98.07595,-98.343254
,51,jmr,9.26903,8.927649,-1.801432,-2.361612
,52,jms,6.93901,6.892376,10.338479,10.216489
,53,jmw,-7.309926,-7.57146,144.018029,143.635306
,54,jmi,10.77313,10.685269,9.880342,9.743253
,55,jmn,26.02871,25.294542,95.299918,94.811948
,56,jml,30.008462,28.969667,82.588751,81.485868
,57,jmb,10.866619,10.789402,10.02331,9.913287
,58,jmc,-3.076625,-3.517831,37.247949,36.892714
,59,jma,-9.596516,-9.738236,149.741052,149.516692
,60,jmd,-7.395572,-8.154358,131.706663,131.089845
,61,czt,22.204412,21.674159,94.027689,93.288099
,62,czh,53.56005,10.37314,134.774065,73.560763
,63,czn,16.611986,16.408273,-97.34875,-97.562181
,64,czo,53.56005,10.37314,134.774065,73.560763
,65,hod,13.8885,4.270627,14.678242,2.65011
,66,hoe,9.06243,9.03929,8.90072,8.8746
,67,hob,-5.917235,-5.986009,145.930693,145.829619
,68,hoc,22.52416,21.146338,86.708282,85.453236
,69,hoa,-8.04737,-8.282986,157.667032,157.539308
,70,hoo,-5.000078,-5.766984,28.594333,28.060432
,71,hol,-7.723454,-9.270125,17.659395,16.522067
,72,hom,12.235701,3.483664,35.95035,24.150382
,73,hoj,25.816161,24.16791,77.007314,75.370703
,74,hoh,17.389716,16.48093,53.45023,52.510455
,75,hoi,71.388858,18.909894,293.050802,172.436635
,76,hov,1.481266,0.423911,114.170623,112.925939
,77,how,53.56005,10.37314,134.774065,73.560763
,78,hot,-6.872692,-7.216645,147.003087,146.809828
,79,hor,23.446369,7.439332,23.999329,13.468673
,80,hos,10.834666,10.712472,106.734337,106.627114
,81,hop,35.998915,35.525633,-110.143558,-110.926096
,82,hoz,9.57895,9.15653,35.07062,34.53895
,83,hoy,17.888462,16.48533,77.294256,75.683616
,84,fir,9.61179,9.58723,8.68779,8.63816
,85,fip,-6.66807,-8.371225,32.18373,30.427449
,86,fiw,-6.581505,-6.752843,143.760431,143.531622
,87,fit,68.534137,65.765865,24.784806,19.634649
,88,fia,24.564462,19.57264,33.06282,30.1914
,89,fif,17.285152,17.212761,43.145552,43.056146
,90,nme,25.56622,25.363699,93.822969,93.637687
,91,fie,9.419229,9.37137,9.420394,9.342394
,92,fij,71.388858,-54.779045,293.050802,112.919742
,93,fin,83.110626,-54.779045,179.778488,-179.14125
,94,fil,21.120611,4.613444,126.601525,116.931557
,95,mdj,3.742768,1.511949,29.184662,25.706361
,96,mdk,3.171228,2.509164,30.100943,29.370588
,97,mdh,7.233783,6.581433,125.002771,124.016428
,98,mdi,3.463838,2.372261,29.699576,28.272779
,99,mdn,4.20286,3.725452,18.070522,17.435297
,100,mdl,36.08226,35.785807,14.576547,14.182922
,101,mdm,3.288692,2.286868,29.246999,27.574749
,102,mdb,-7.279302,-7.85215,144.087376,143.575093
,103,mdc,-5.48282,-5.529184,145.782138,145.748239
,104,mda,9.43622,8.85006,8.61222,8.12166
,105,mdf,55.142786,53.728866,45.95059,42.17527
,106,mdg,23.446369,7.439332,23.999329,13.468673
,107,mdd,8.233497,4.93948,15.555603,12.629136
